ID,Name,Description,Created,Vendor,Types,Alt. Names / Keywords,Friendly URL,Subjects,More Info,Librarian Review,Popular,Permitted Uses,Hidden,Internal Note
3776572,17th and 18th Century Burney Collection (British Newspapers),"Full text of early English newspapers, newsbooks, Acts of Parliament, addresses, broadsides, pamphlets, and proclamations. Titles are from London, British Isles, and colonies.",2014-07-29 09:55:18 AM,Gale,"Primary Sources, Historical Newspapers",,,"Journalism, History",,,No,,No,
3821357,18th Century Collections Online,"Digital images of English-language printed material published between 1701 and 1800. Coverage includes history, literature, religion, law, fine arts, science and more.",2014-07-30 08:03:34 PM,Gale,"Primary Sources, Historical Newspapers",,,"Journalism, History",,,No,,No,
3821358,19th Century Collections Online (NCCO),"Archival collection covering the following subjects: British politics and society; Asia and the West; British theater, music and literature; European literature from 1790-1840; history of science, technology, and medicine from 1780-1925; photography; women and transnational networks; and Europe and Africa collections on commerce, Christianity, civilization, and conquest.",2014-07-30 08:04:46 PM,Gale,Primary Sources,,,"Journalism, History",,,No,,No,
3821362,19th Century U.S. Newspaper Digital Archive,"Primary source newspapers with strong coverage for the Civil War and Reconstruction, African-American culture and history, the Western expansion, Native American culture and history, the Victorian era, and more.",2014-07-30 08:05:54 PM,Gale,"Primary Sources, Historical Newspapers",,,"Journalism, History",,,No,,No,
5157749,Academic Search Complete,"Newspapers, magazines and scholarly journals covering all academic areas of study. Recommended starting point for research in periodical literature in most fields of study.",2014-07-08 07:10:19 PM,EBSCO,"Scholarly Articles, Magazine articles, *Most Popular",,,"Anthropology, Biology, Computer Science, Office Administration, Technology, Communications, Journalism, Theater, Film, Criminal Justice, Education, Environment, Health, History, Law, Philosophy, Religion, Astronomy, Chemistry, Physics, Engineering, Psychology, Sociology, Tourism, Hospitality, Women's and Gender Studies, Art, Music, Book Reviews, Current Events, Medicine, Political Science, Nutrition, LGBTQ Studies, Geology, KCC Reads",,,Yes,,No,
20267412,Air & Space/Smithsonian Magazines Archive 1986-Present,Air & Space/Smithsonian covers every era of aviation and space exploration along with articles about the Smithsonian Institution's National Air and Space Museum collections.  Coverage from 1986 to the present.,2016-03-15 02:42:14 PM,Gale,Magazine articles,,,,,,No,,No,
2959684,American Chemical Society,Peer-reviewed journals in chemistry and related sciences.,2014-07-10 11:33:17 AM,,Scholarly Articles,,,"Chemistry, Science",,,No,,No,
30714216,American College of Sports Medicine (ACSM),Choose “Public Information” from top menu for ACSM’s fitness information.,2017-04-03 10:48:00 AM,,Open Access,ACSM,,Exercise Science,,,No,,No,
30714176,American Council on Exercise (ACE),Learn about health and fitness certifications,2017-04-03 10:46:09 AM,,Open Access,ACE,ACE,Exercise Science,,,No,,No,
2961502,American History Online,"Includes biographies, topic overviews, primary sources, timelines, images, videos, maps, and charts covering more than 500 years of American political, military, social, and cultural history.",2014-07-10 02:06:33 PM,Facts on File,"Reference, Primary Sources, Topic Overviews",,,"History, Political Science",,,No,,No,
2961513,American Journal of Clinical Nutrition,"Peer-reviewed journal covering nutrition and dietetics. Includes clinical studies in topics such as vitamins, metabolism, diseases, and nutrition in relation to stages of life.",2014-07-10 02:09:16 PM,,"Scholarly Articles, Single Publication",,,"Health, Nursing, Medicine, Nutrition","Full text from 1999 on this site.  See ""Periodicals at KCC"" on the library's home page for databases that contain full text prior to 1999.",,No,,No,
2961546,American Psychological Association (APA) E-books & Handbooks,"E-books published in 2011, 2012, and 2013 and selected handbooks.",2014-07-10 02:13:00 PM,,Ebooks,,,Psychology,,,No,,No,
2961597,American Spectator,Archives of this opinion journal dating to 1967.,2014-07-10 02:18:26 PM,OpinionArchives,"Opinion Journals, Single Publication",,,,,,No,,No,
26847530,APA Style Guide from Purdue Online Writing Lab,APA format and style guide,2016-11-15 02:27:59 PM,,Open Access,APA,APA_style,"Psychology, Citation tools",,,No,,No,
