Businessname,Address,Businesstype
10 Foot Pizza,740 N Rampart St,Full Service Restaurants
Curb Side Daiquiris,1030 Elysian Fields Ave,Bar
John & Mary Food Store,3238 Orleans Ave,Convenience Stores
Diaz Market Riverbend,600 S Carrollton Ave,Gasoline Stations With Convenience Stores
Mardi Gras World,1380 Port Of New Orleans Pl,Reception Hall
Bayou District Foundation,1051 Filmore Ave,Limited Service Restaurants
The Italian Barrel,430 Barracks St,Full Service Restaurants
Chippewa Food Store,1684 Chippewa St,Convenience Stores
Napoleon S Itch,734 Bourbon St,Bar
Hi Lo Lounge,2239 St Claude Ave,Bar
New Orleans City Park,1 Dreyfous Ave,Motion Picture Theater
French Quarter Deli,1139-1141 Decatur St,Full Service Restaurants
Poseiden,2100  Saint Charles Ave,Full Service Restaurants
504 Craft Beer Reserve,3939 Tulane Ave,"Beer, Wine & Liquor Stores"
Joey K's Restaurant,3001 Magazine St,Full Service Restaurants
World Famous Corporation Bar And Grill,931 S Peters St,Full Service Restaurants
The Cheesy Cajun,3325 Saint Claude Ave,Full Service Restaurants
Stewart's Diner,3403 N Claiborne Ave,Full Service Restaurants
Orpheum Theater,129 Roosevelt Way,Theater Co & Dinner Theaters
The Drifter Hotel,3522  Tulane Ave,Hotels & Motels
Gravier Street Social,523 Gravier St,Bar
Pepperoni's Cafe,8123 Hampson St,Full Service Restaurants
The Frenchmen Theatre,516 Frenchmen St,Theater Co & Dinner Theaters
Fullblast Brunch,139 S Cortez St,Full Service Restaurants
Mikimoto Japanese Restaurant,3301 S Carrollton Ave,Full Service Restaurants
Olive Supermarket,8841 Olive St,Grocery Stores
"Napoleon Ave, Llc",3001 Napoleon Ave,Full Service Restaurants
Nola Par 9,6514 Congress Dr,Full Service Restaurants
Chris Specialty Meats,6251 West End Blvd,Meat Markets
Banks St. Bar,4401 Banks St,Bar
Skinny's Tavern & Marie's Kitchen,3829 Clematis St,Full Service Restaurants
Bar La La's,2802 Cherry St,Bar
The Munch Factory,1901 Sophie Wright Pl,Full Service Restaurants
Legends New Orleans,2501 Canal St,Full Service Restaurants
Kyoto Sushi Nola Llc,4821 Prytania St,Full Service Restaurants
Deanie's On Magazine,2200 Magazine St,Full Service Restaurants
Thai Mint,1438 S Carrollton Ave,Full Service Restaurants
Algiers Steak And Oyster Cafe,3137 General Meyer Ave,Full Service Restaurants
Joe's Sandpiper,2119 Louisiana Ave,Bar
Mahony's Po-Boys,901 Iberville St,Full Service Restaurants
Stable Kitchen,1751 Gentilly Blvd,Full Service Restaurants
The Line,2029 N Claiborne Ave,Bar
Frey Smoked Meat,4141 Bienville St,Full Service Restaurants
